"AE201A","Introduction To Aerospace Engineering"
"PHY558A","Batchlor of Science Project - IV"
"PHY590A","Special Topics in Physics"
"PHY600","Introduction to High Performance Computing for Scientists and Engineers"
"PHY601A","Review of Classical Machanics"
"PHY602A","Review of Quantum Mechanics"
"PHY603A","Review of Classical Electrodynamics"
"PHY604A","Review of Statistical Mechanics"
"PHY616A","Soft Matter Physics"
"PHY618A","Physics of Life"
"PHY621A","Electronic Structure of Materials"
"PHY631A","Physics of Semiconductor Nanostructures"
"PHY644A","Quantum Electronics"
"PHY660A","General Relativity & Cosmology"
"PHY663A","Mathematical Methods II"
"PHY664A","Quantum Electronics"
"PHY680A","Particle Physics"
"PHY692A",""
"PHY695A","Nonlinear System & Dynamics"
"PHY697A","MSC Research Project -I"
"PHY781A","High Energy Physics II"
"PSO201A","Quantum Physics"
"SE305A","Physics of Non-Equilibrium Phenomena"
"SE312A","Order and Chaos"
"SE314A","Classical Mechanics"
"SE315A","Special & General Relativity"
"SE316A",""
"DES601A","Design Theory"
"DES602A","Design Practice I"
"DES621A","Creative Visualization"
"DES623A","Topics in Motion Pictures"
"DES625A","FORM AND STYLE"
"DES681A","DESIGN PROJECT I"
"DES698A","Special Studies/Project Courses in Design"
